UniqueID,Company,VendorReturn,VendorReturnLine,Vendor,ReturnNumberAlpha,ReferenceNumber,OriginalPurchaseOrder,OriginalPurchaseOrderLine,DocumentNumberNumeric,PurchaseOrderReceipt,Item,MatchDetailKey,Description,ItemType,ReturnQuantity,CancelQuantity,CatchWeightQuantity,DetailsInBalance,EnteredUOM,EnteredUOMMultiplier,VendorPriceUOM,VendorPriceUOMMultiplier,UnitCost,InspectionRequired,HSNSACCode,TaxCode,TaxUsageCode,LastDistributionSequence,LastPurchaseOrderTransactionDetail,Canceled,ICNCode,SupplementaryQuantity,StockWeight,IntrastatNumber,ReturnStockToInventoryOnVendorReturnCancel,VendorItem,Contract,ContractLine,ProductTaxCategory,ManufacturerContract,ItemGTIN,CreatedBy,LastUpdateDate,LastUpdateBy,GlobalLineType,ReplacementPurchaseOrderLine
015ef49e-b7c0-0000-0034-876a538f85a8,1,14,1,5,14,,864,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,11000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,41,1,,0,,inforhc3,"Sunday, 15 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-003e-91d1538f85a8,1,15,1,5,15,,864,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,11000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,41,1,,0,,inforhc2,"Monday, 16 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0043-9264538f85a8,1,16,1,5,16,,897,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,11000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,41,1,,0,,inforhc2,"Tuesday, 17 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0061-a47f538f85a8,1,17,1,5,17,,906,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,11000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,41,1,,0,,inforhc2,"Tuesday, 17 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0070-30fc538f85a8,1,18,1,8,18,,942,1,0,0,29,29,STEM HIP FITMORE  A SIZE 6,N,2,0,0,FALSE,EA,1,EA,1,1350,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-05,18,3,,0,,inforhc2,"Thursday, 19 October 2017 05:30:00.00 AM",,,0
015fbd72-0683-0000-0019-b485538f85a8,1,20,1,8,20,,1057,1,0,0,29,29,STEM HIP FITMORE  A SIZE 6,N,3,0,0,FALSE,EA,1,EA,1,1350,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-05,18,3,,0,,inforhc3,"Tuesday, 21 November 2017 05:30:00.00 AM",,,0
015fbd72-0683-0000-0022-0096538f85a8,1,21,1,6,21,,1059,1,0,0,MRI,MRI,MRI,X,1,0,0,FALSE,EA,1,EA,1,1900000,TRUE,,,,0,0,FALSE,,0,0,0,FALSE,GEMRI100-A,0,0,,0,,inforhc3,"Tuesday, 21 November 2017 05:30:00.00 AM",,,0
0160db7d-3b92-0000-0044-d6ca538f85a8,1,23,1,1,23,RMGT251,0,0,0,0,13,13,13,I,15,0,0,FALSE,EA,1,,0,5,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc3,"Monday, 22 January 2018 05:30:00.00 AM",,,0
01621d22-4bf3-0000-002a-ef0b538f85a8,1,24,1,9,24,RMGT7,0,0,0,0,4161693144,4161693144,4161693144,N,2,0,0,FALSE,VI,1,,0,0,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc38,"Wednesday, 21 March 2018 05:30:00.00 AM",,,0
01626a24-08f7-0000-0000-f370538f85a8,1,25,1,1,25,,0,0,0,0,1,1,GLOVES EXAM LG PF,I,3,0,0,FALSE,BX,1,,0,4.88551094,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc2,"Wednesday, 28 March 2018 05:30:00.00 AM",,,0
01626a24-08f7-0000-0001-0e27538f85a8,1,26,1,1,26,,0,0,0,0,1,1,GLOVES EXAM LG PF,I,1,0,0,FALSE,BX,1,,0,4.88551094,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc2,"Wednesday, 28 March 2018 05:30:00.00 AM",,,0
01626a24-08f7-0000-001f-c43c538f85a8,1,27,1,4,27,,1362,1,0,0,MC70,MC70 HANDHELDS,MC70 Handhelds,X,2,0,0,FALSE,EA,1,EA,1,1000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,MC70,0,0,,0,,inforhc2,"Thursday, 05 April 2018 05:30:00.00 AM",,,1
0162b4f6-820e-0000-0004-2efb538f85a8,1,28,1,1,28,,0,0,0,0,21,21,URINE AND STOOL COLLECTION PAN,N,5,0,0,FALSE,EA,100,,0,0.59,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc4,"Thursday, 12 April 2018 05:30:00.00 AM",,,0
0162b4f6-820e-0000-000e-7c7b538f85a8,1,29,1,1,29,,1403,1,0,0,SUPPLIES,SUPPLIES,Supplies,X,1,0,0,FALSE,EA,1,EA,1,10,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,SUPPLIES,0,0,,0,,inforhc4,"Friday, 13 April 2018 05:30:00.00 AM",,,0
0162caa2-3e6e-0000-000f-b279538f85a8,1,30,1,1,30,,1419,1,0,0,21,21,URINE AND STOOL COLLECTION PAN,N,5,0,0,FALSE,EA,1,EA,1,0.59,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,123-3451,7,1,,0,,inforhc4,"Wednesday, 18 April 2018 05:30:00.00 AM",,,0
0162caa2-3e6e-0000-0022-368f538f85a8,1,31,1,2,31,,1145,1,0,0,196517,"BOISE(R) X-9(R) MULTI-USE COPY PAPER, LETTER SIZE PAPER, 20","Boise(R) X-9(R) Multi-Use Copy Paper, Letter Size Paper, 20",X,1,0,0,FALSE,CS,1,CS,1,202.91,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,196517,0,0,,0,,inforhc3,"Friday, 20 April 2018 05:30:00.00 AM",,,0
0731496f-c680-2218-0000-0e725b20670d,1,36,1,2,36,,2297,1,0,0,893516,"HP ALL-IN-ONE PC, 21.5 SCREEN, AMD A6, 4GB MEMORY, 1TB HARD","HP All-In-One PC, 21.5 Screen, AMD A6, 4GB Memory, 1TB Hard",X,1,0,0,FALSE,EA,1,EA,1,569.99,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,893516,0,0,,0,,inforhc38,"Thursday, 14 June 2018 05:30:00.00 AM",,,0
0731496f-c680-2218-0000-0e8b5b20670d,1,36,2,2,36,,2297,3,0,0,664011,"BIC(R) ROUND STIC BALLPOINT PENS, MEDIUM POINT, 1.0 MM, TRAN","BIC(R) Round Stic Ballpoint Pens, Medium Point, 1.0 mm, Tran",X,1,0,0,FALSE,BX,1,BX,1,12.72,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,664011,0,0,,0,,inforhc38,"Thursday, 14 June 2018 05:30:00.00 AM",,,0
df001c44-a680-5264-0000-02525b6d1cac,1,37,1,8,37,,1194,1,0,0,78,78,OSS CEMENTED IM STEM 12X150,I,3,0,0,TRUE,EA,1,EA,1,1200,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,150366,18,12,,0,,inforhc44,"Monday, 13 August 2018 05:30:00.00 AM",,,0
9d82105a-a680-5014-0000-05145b7b6677,1,38,1,1003,38,,2450,1,0,0,70,70,24x24x2 Filter,N,1,0,0,FALSE,CS,1,CS,1,60,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,982029-097,0,0,,0,,inforhc7,"Friday, 24 August 2018 05:30:00.00 AM",,,1
9d82105a-a680-8e64-0000-14ef5b7b6677,1,39,1,8,39,,2368,1,0,0,29,29,STEM HIP FITMORE  A SIZE 6,N,1,0,0,FALSE,EA,1,EA,1,0,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-05,18,3,,0,,inforhc7,"Friday, 24 August 2018 05:30:00.00 AM",,,1
27af4352-6680-24d8-0000-0a7b5bac132c,1,44,1,8,44,,68,1,0,0,39,39,ZIMM - Hip Replacement - Size 4,N,1,0,0,FALSE,EA,1,EA,1,3700,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM - HIP REPLACEMENT - SIZE 4,0,0,,0,,inforhc1,"Monday, 08 October 2018 05:30:00.00 AM",,,0
08807282-e680-7930-0000-08ed5bf8245a,1,45,1,8,45,,2641,1,0,0,10,10,SCREW BN CANC TI FT 6.5 X 30,N,2,0,0,FALSE,EA,1,EA,1,35,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,430107040,4,2,,0,,inforhc3,"Wednesday, 28 November 2018 05:30:00.00 AM",,,0
55e79075-e680-bb30-0000-009f5c13fa57,1,46,1,1,46,,2659,1,0,0,21,21,URINE AND STOOL COLLECTION PAN,N,1,0,0,FALSE,EA,1,EA,1,0.59,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,123-3451,0,0,,0,,inforhc3,"Thursday, 20 December 2018 05:30:00.00 AM",,,0
b52866fd-f680-3500-0000-004e5e24b5c7,1,47,1,1,47,,2796,1,0,1254,3,3,"STERI-STRIP 1/4"" X 3"" WHITE",I,10,0,0,FALSE,CA,24,CA,24,38,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc2,"Monday, 20 January 2020 03:50:43.73 AM",inforhc2,,0
b52866fd-f680-8240-0000-00675e24b5c7,1,48,1,1,48,,2797,1,0,1255,3,3,"STERI-STRIP 1/4"" X 3"" WHITE",I,10,0,0,FALSE,CA,24,CA,24,38,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc2,"Monday, 20 January 2020 03:58:14.86 AM",inforhc2,,0
800cb5a3-f680-3e80-0000-0e145e265133,1,49,1,1,49,,2816,1,0,0,21,21,URINE AND STOOL COLLECTION PAN,N,3,0,0,FALSE,EA,1,EA,1,0.59,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,123-3451,0,0,,0,,inforhc2,"Thursday, 23 January 2020 05:30:00.00 AM",,,0
aa1f123c-0e80-6800-0000-01e25e44ae54,1,52,1,8,52,,2855,1,0,0,29,29,STEM HIP FITMORE  A SIZE 6,N,1,0,0,FALSE,EA,1,EA,1,1350,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-05,18,3,,0,,inforhc2,"Thursday, 13 February 2020 05:30:00.00 AM",,,0
1303958b-0e80-0c00-0000-174c5e6aebf7,1,53,1,8,53,,2799,1,0,1256,32,32,STEM HIP FITMORE  A SIZE 8,N,5,0,0,FALSE,EA,1,EA,1,1000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc2,"Tuesday, 17 March 2020 03:02:12.48 AM",inforhc2,,0
1303958b-0e80-fd00-0000-141b5e6aebf7,1,54,1,3,54,,2961,1,0,0,5556002,DELL LATITUDE 5300,Dell Latitude 5300,X,1,0,0,FALSE,EA,1,EA,1,1200,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,5556002,0,0,,0,,inforhc2,"Monday, 16 March 2020 05:30:00.00 AM",,,0
75e1d2f0-8e80-c100-0000-6aad5e7ab314,1,55,1,1128,55,,3034,1,0,0,10006,10006,Optifoam Gentle Silicone-Faced Foam Dressings with Liquitrap,N,1,0,0,FALSE,CA,100,CA,100,359.4,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,MSC2333EP,319,1,,0,,inforhc3,"Monday, 06 April 2020 05:30:00.00 AM",,,0
75e1d2f0-8e80-c900-0000-95925e7ab314,1,56,1,1128,56,,0,0,0,0,10005,SYRINGE,Syringe,X,1,0,0,FALSE,EA,1,EA,1,10,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,11221,0,0,,0,,inforhc3,"Monday, 06 April 2020 05:30:00.00 AM",,,0

