Vendor,PurchaseOrder,Item,Description,Quantity,CancelQuantity,QuantityDemandedFinal,EnteredReceivedQuantity,EarlyDeliveryDate,ReceivedDate,DeliveryTime,RemainingQuantity,PercentOfQuantityReceived,ReturnQuantity,PercentOfQuantityReturned
8,86,8,STEM FEMORAL SOLID LG 165,1.0,0.0,1.0,1,2017-06-13,2017-06-13,0,0.0,1.0,1.0,1.0
1,240,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
1,243,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
5,247,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
2,250,OD-400,Office Desk,1.0,0.0,1.0,1,2017-06-30,2017-06-22,8,0.0,1.0,0.0,0.0
8,251,8,STEM FEMORAL SOLID LG 165,1.0,0.0,1.0,1,2017-06-29,2017-06-22,7,0.0,1.0,0.0,0.0
5,252,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
5,252,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
5,255,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-25,2017-06-22,3,0.0,1.0,0.0,0.0
5,258,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-26,2017-06-23,3,0.0,1.0,0.0,0.0
5,258,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-26,2017-06-23,3,0.0,1.0,0.0,0.0
5,261,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-29,2017-06-26,3,0.0,1.0,0.0,0.0
5,264,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-30,2017-06-27,3,0.0,1.0,0.0,0.0
5,267,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-06-30,2017-06-27,3,0.0,1.0,0.0,0.0
1,273,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-07-12,2017-07-11,1,0.0,1.0,0.0,0.0
5,275,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-14,2017-07-11,3,0.0,1.0,0.0,0.0
5,275,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-14,2017-07-11,3,0.0,1.0,0.0,0.0
5,278,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-15,2017-07-12,3,0.0,1.0,0.0,0.0
5,281,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-15,2017-07-12,3,0.0,1.0,0.0,0.0
5,289,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-21,2017-07-18,3,0.0,1.0,0.0,0.0
5,294,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-23,2017-07-20,3,0.0,1.0,0.0,0.0
5,297,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-07-23,2017-07-20,3,0.0,1.0,0.0,0.0
1,303,3.63323E+11,FLUPHENAZINE DECANOATE,20.0,0.0,20.0,15,2017-07-24,2017-07-24,0,-5.0,0.75,0.0,0.0
1,303,4161693144,VECURONIUM BROMIDE INJECTION,20.0,0.0,20.0,14,2017-07-24,2017-07-24,0,-6.0,0.7,2.0,0.14285714285714285
1,310,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-03,2017-07-31,3,0.0,1.0,0.0,0.0
1,313,1,GLOVES EXAM LG PF,3.0,0.0,3.0,3,2017-09-12,2017-07-31,43,0.0,1.0,0.0,0.0
1,313,C1725,Apex Balloon Catheter,10.0,0.0,10.0,10,2017-08-03,2017-07-31,3,0.0,1.0,0.0,0.0
1,324,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-02,2017-08-02,0,0.0,1.0,0.0,0.0
1,329,1,GLOVES EXAM LG PF,2.0,0.0,2.0,2,2017-09-18,2017-08-02,47,0.0,1.0,0.0,0.0
1,329,3,"STERI-STRIP 1/4"" X 3"" WHITE",1.0,0.0,1.0,1,2017-09-21,2017-08-02,50,0.0,1.0,0.0,0.0
1,329,4,"NEEDLE  27G X 1/2""",10.0,0.0,10.0,10,2017-09-21,2017-08-02,50,0.0,1.0,0.0,0.0
1,329,4000,STENT BILIARY RX HERCULINK PLU,5.0,0.0,5.0,5,2017-08-05,2017-08-02,3,0.0,1.0,0.0,0.0
1,332,1,GLOVES EXAM LG PF,2.0,0.0,2.0,2,2017-09-18,2017-08-02,47,0.0,1.0,0.0,0.0
1,332,3,"STERI-STRIP 1/4"" X 3"" WHITE",1.0,0.0,1.0,1,2017-09-21,2017-08-02,50,0.0,1.0,0.0,0.0
1,332,4,"NEEDLE  27G X 1/2""",1.0,0.0,1.0,1,2017-09-21,2017-08-02,50,0.0,1.0,0.0,0.0
1,332,4000,STENT BILIARY RX HERCULINK PLU,1.0,0.0,1.0,1,2017-08-05,2017-08-02,3,0.0,1.0,0.0,0.0
1,332,C1725,Apex Balloon Catheter,1.0,0.0,1.0,1,2017-08-05,2017-08-02,3,0.0,1.0,0.0,0.0
1,335,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-04,2017-08-02,2,0.0,1.0,0.0,0.0
1,337,2,TAPE TRANSPORE SURG 1X10 YDS,1.0,0.0,1.0,1,2017-08-03,2017-08-03,0,0.0,1.0,0.0,0.0
1,337,4,"NEEDLE  27G X 1/2""",10.0,0.0,10.0,10,2017-08-03,2017-08-03,0,0.0,1.0,0.0,0.0
1,342,100,GLOVES EXAM MED PF,1.0,0.0,1.0,1,2017-08-03,2017-08-03,0,0.0,1.0,0.0,0.0
1,344,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-04,2017-08-03,1,0.0,1.0,0.0,0.0
1,347,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,2,2017-08-04,2017-08-04,0,-2.0,0.5,0.0,0.0
1,348,1,GLOVES EXAM LG PF,2.0,0.0,2.0,2,2017-09-20,2017-08-04,47,0.0,1.0,0.0,0.0
1,348,3,"STERI-STRIP 1/4"" X 3"" WHITE",1.0,0.0,1.0,1,2017-09-23,2017-08-04,50,0.0,1.0,0.0,0.0
1,348,4,"NEEDLE  27G X 1/2""",1.0,0.0,1.0,1,2017-09-23,2017-08-04,50,0.0,1.0,0.0,0.0
1,348,4000,STENT BILIARY RX HERCULINK PLU,5.0,0.0,5.0,5,2017-09-23,2017-08-04,50,0.0,1.0,0.0,0.0
1,348,C1725,Apex Balloon Catheter,2.0,0.0,2.0,2,2017-09-23,2017-08-04,50,0.0,1.0,0.0,0.0
1,366,45,MOUSE LAB ALBINO THREE WEEKS OLD,10.0,0.0,10.0,10,2017-08-10,2017-08-04,6,0.0,1.0,0.0,0.0
1,367,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-08,2017-08-04,4,0.0,1.0,0.0,0.0
1,369,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-08,2017-08-04,4,0.0,1.0,0.0,0.0
1,370,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-08,2017-08-04,4,0.0,1.0,0.0,0.0
1,371,43,MOUSE LAB ALBINO MALE,25.0,0.0,25.0,25,2017-08-08,2017-08-04,4,0.0,1.0,0.0,0.0
1,373,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-10,2017-08-07,3,0.0,1.0,0.0,0.0
1,373,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,10,2017-08-10,2017-08-07,3,5.0,0.8888888888888888,0.0,0.0
1,376,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-17,2017-08-07,10,0.0,1.0,0.0,0.0
1,325,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-05,2017-08-08,-3,0.0,1.0,0.0,0.0
1,325,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,15,2017-08-05,2017-08-08,-3,10.0,0.7777777777777778,0.0,0.0
1,379,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,380,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,381,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,382,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,383,21,URINE AND STOOL COLLECTION PAN,1.0,0.0,1.0,1,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,384,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,0,2017-08-10,2017-08-08,2,-4.0,0.0,0.0,
1,384,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,2,2017-08-10,2017-08-08,2,-2.0,0.5,0.0,0.0
1,386,46,GUIDEWIRE VASC 150CM .025IN,10.0,0.0,10.0,10,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,390,47,GUIDEWIRE ESCP .025IN 150CM,20.0,0.0,20.0,20,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,391,47,GUIDEWIRE ESCP .025IN 150CM,10.0,0.0,10.0,10,2017-08-08,2017-08-08,0,0.0,1.0,0.0,0.0
1,392,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-12,2017-08-09,3,0.0,1.0,0.0,0.0
1,392,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-12,2017-08-09,3,0.0,1.0,0.0,0.0
5,395,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-08-12,2017-08-09,3,0.0,1.0,0.0,0.0
1,398,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-18,2017-08-09,9,0.0,1.0,0.0,0.0
1,399,43,MOUSE LAB ALBINO MALE,25.0,0.0,25.0,25,2017-08-18,2017-08-09,9,0.0,1.0,0.0,0.0
1,400,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-09,2017-08-09,0,0.0,1.0,0.0,0.0
1,402,21,URINE AND STOOL COLLECTION PAN,6.0,0.0,6.0,5,2017-08-09,2017-08-09,0,-1.0,0.8333333333333334,0.0,0.0
1,403,21,URINE AND STOOL COLLECTION PAN,8.0,0.0,8.0,8,2017-08-09,2017-08-09,0,0.0,1.0,0.0,0.0
1,404,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-09,2017-08-09,0,0.0,1.0,0.0,0.0
1,405,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-09,2,0.0,1.0,0.0,0.0
5,406,15,PORTABLE X-RAY MACHINE,1.0,0.0,1.0,1,2017-08-09,2017-08-09,0,0.0,1.0,0.0,0.0
1,410,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-09,2,0.0,1.0,0.0,0.0
1,411,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-09,2,0.0,1.0,0.0,0.0
1,412,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-09,2,0.0,1.0,0.0,0.0
1,413,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-09,2,0.0,1.0,0.0,0.0
1,415,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-09,2017-08-09,0,0.0,1.0,0.0,0.0
1,416,45,MOUSE LAB ALBINO THREE WEEKS OLD,25.0,0.0,25.0,25,2017-08-10,2017-08-10,0,0.0,1.0,0.0,0.0
1,416,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-10,2017-08-10,0,0.0,1.0,0.0,0.0
1,426,42,PUMP INFUSION IV 6.05.13,4.0,0.0,4.0,4,2017-08-11,2017-08-11,0,0.0,1.0,0.0,0.0
5,428,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-08-14,2017-08-11,3,0.0,1.0,0.0,0.0
1,431,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-11,2017-08-11,0,0.0,1.0,0.0,0.0
5,432,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-08-14,2017-08-11,3,0.0,1.0,0.0,0.0
1,423,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-08-14,2017-08-15,-1,0.0,1.0,0.0,0.0
1,423,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,10,2017-08-14,2017-08-15,-1,5.0,0.8888888888888888,0.0,0.0
3,438,B01M1R392V,60ml Catheter Tip Syringe with Covers- 10 Syringes by Care T,6.0,0.0,6.0,6,2017-08-22,2017-08-22,0,0.0,1.0,0.0,0.0
8,439,31,STEM HIP FITMORE  A SIZE 7,1.0,0.0,1.0,1,2017-08-24,2017-08-23,1,0.0,1.0,0.0,0.0
8,440,31,STEM HIP FITMORE  A SIZE 7,1.0,0.0,1.0,1,2017-08-23,2017-08-23,0,0.0,1.0,0.0,0.0
1,441,23,"Glove, Surgical",5.0,0.0,5.0,5,2017-08-25,2017-08-25,0,0.0,1.0,0.0,0.0
1,442,21,URINE AND STOOL COLLECTION PAN,500.0,0.0,500.0,500,2017-08-25,2017-08-25,0,0.0,1.0,0.0,0.0
1,450,42,PUMP INFUSION IV 6.05.13,1.0,0.0,1.0,1,2017-08-31,2017-08-28,3,0.0,1.0,0.0,0.0
1,454,21,URINE AND STOOL COLLECTION PAN,5.0,0.0,5.0,5,2017-09-01,2017-08-29,3,0.0,1.0,0.0,0.0
5,457,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-09-01,2017-08-29,3,0.0,1.0,0.0,0.0
5,458,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-09-02,2017-08-30,3,0.0,1.0,0.0,0.0
5,461,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-09-02,2017-08-30,3,0.0,1.0,0.0,0.0
8,464,27,STEM HIP FITMORE  A SIZE 4,1.0,0.0,1.0,1,2017-09-05,2017-09-04,1,0.0,1.0,0.0,0.0
8,467,27,STEM HIP FITMORE  A SIZE 4,1.0,0.0,1.0,1,2017-09-06,2017-09-06,0,0.0,1.0,0.0,0.0
3,470,16,XPS 15,1.0,0.0,1.0,1,2017-09-08,2017-09-06,2,0.0,1.0,0.0,0.0
5,476,7,Pacemaker Kappa 7500,1.0,0.0,1.0,0,2017-09-10,2017-09-07,3,-1.0,0.0,0.0,
8,484,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-11,2017-09-08,3,0.0,1.0,0.0,0.0
8,488,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-15,2017-09-12,3,0.0,1.0,0.0,0.0
8,491,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-15,2017-09-12,3,0.0,1.0,0.0,0.0
8,494,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-16,2017-09-13,3,0.0,1.0,0.0,0.0
2,497,OD100,Office Desk,1.0,0.0,1.0,1,2017-09-14,2017-09-14,0,0.0,1.0,0.0,0.0
8,500,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-17,2017-09-14,3,0.0,1.0,0.0,0.0
8,503,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-17,2017-09-14,3,0.0,1.0,0.0,0.0
1,495,52,TAPE TRANSPORE SURG 1X10 YDS,1.0,0.0,1.0,1,2017-09-14,2017-09-15,-1,0.0,1.0,0.0,0.0
1,495,52,TAPE TRANSPORE SURG 1X10 YDS,1.0,0.0,1.0,1,2017-09-14,2017-09-15,-1,0.0,1.0,0.0,0.0
1,496,52,TAPE TRANSPORE SURG 1X10 YDS,20.0,0.0,20.0,20,2017-09-14,2017-09-18,-4,0.0,1.0,0.0,0.0
2,508,348037,"Office Depot(R) Brand Copy amp; Print Paper, Letter Size Pap",3.0,0.0,3.0,3,2017-09-18,2017-09-18,0,0.0,1.0,0.0,0.0
2,508,810846,"Office Depot(R) Brand File Folders, 1/3 Cut, Legal Size, 30",2.0,0.0,2.0,2,2017-09-18,2017-09-18,0,0.0,1.0,0.0,0.0
2,508,790761,"Pilot(R) G-2(R) Retractable Gel Pens, Fine Point, 0.7 mm, Cl",1.0,0.0,1.0,1,2017-09-18,2017-09-18,0,0.0,1.0,0.0,0.0
2,508,872993,"2000 PLUS(R) Self-Inking Easy Select Dater Stamp, Received,",1.0,0.0,1.0,1,2017-09-18,2017-09-18,0,0.0,1.0,0.0,0.0
3,509,16,XPS 15,1.0,0.0,1.0,1,2017-09-28,2017-09-18,10,0.0,1.0,0.0,0.0
1,485,1,GLOVES EXAM LG PF,2.0,0.0,2.0,2,2017-09-11,2017-09-18,-7,0.0,1.0,0.0,0.0
1,511,15,PORTABLE X-RAY MACHINE,1.0,0.0,1.0,1,2017-09-18,2017-09-19,-1,0.0,1.0,0.0,0.0
8,516,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-22,2017-09-19,3,0.0,1.0,0.0,0.0
6,514,GE12345877,GE Venue 50,1.0,0.0,1.0,1,2017-09-22,2017-09-19,3,0.0,1.0,0.0,0.0
8,519,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-23,2017-09-20,3,0.0,1.0,0.0,0.0
3,520,16,XPS 15,1.0,0.0,1.0,1,2017-09-20,2017-09-20,0,0.0,1.0,0.0,0.0
1,521,1,GLOVES EXAM LG PF,1.0,0.0,1.0,1,2017-11-07,2017-09-21,47,0.0,1.0,0.0,0.0
1,521,2,TAPE TRANSPORE SURG 1X10 YDS,1.0,0.0,1.0,1,2017-11-03,2017-09-21,43,0.0,1.0,0.0,0.0
1,521,3,"STERI-STRIP 1/4"" X 3"" WHITE",1.0,0.0,1.0,1,2017-11-10,2017-09-21,50,0.0,1.0,0.0,0.0
5,523,7,Pacemaker Kappa 7500,1.0,0.0,1.0,1,2017-09-21,2017-09-21,0,0.0,1.0,1.0,1.0
1,530,3,"STERI-STRIP 1/4"" X 3"" WHITE",1.0,0.0,1.0,1,2017-09-28,2017-09-22,6,0.0,1.0,0.0,0.0
1,530,1,GLOVES EXAM LG PF,1.0,0.0,1.0,1,2017-09-28,2017-09-22,6,0.0,1.0,0.0,0.0
1,530,2,TAPE TRANSPORE SURG 1X10 YDS,1.0,0.0,1.0,1,2017-09-28,2017-09-22,6,0.0,1.0,0.0,0.0
8,533,29,STEM HIP FITMORE  A SIZE 6,1.0,0.0,1.0,1,2017-09-25,2017-09-22,3,0.0,1.0,0.0,0.0
5,529,7,Pacemaker Kappa 7500,3.0,0.0,3.0,1,2017-09-21,2017-09-25,-4,-2.0,0.3333333333333333,0.0,0.0
1021,551,63,EYEGLASS FRAMES,1.0,0.0,1.0,1,2017-09-27,2017-09-27,0,0.0,1.0,0.0,0.0
1,552,ELECTRON MICROSCOPE,Microcope,1.0,0.0,1.0,1,2017-09-28,2017-09-27,1,0.0,1.0,0.0,0.0
1,553,MICRON BULB,Micron Bulb,1.0,0.0,1.0,1,2017-09-29,2017-09-28,1,0.0,1.0,0.0,0.0
1,557,MC70,Android HH,2.0,0.0,2.0,2,2017-09-29,2017-09-28,1,0.0,1.0,0.0,0.0
1,557,MICROSCOPE BULBS,Microscope Bulbs,1.0,0.0,1.0,1,2017-09-29,2017-09-28,1,0.0,1.0,0.0,0.0
1,557,SNAKE VENOM,Snake Venom Kit,1.0,0.0,1.0,1,2017-09-29,2017-09-28,1,0.0,1.0,0.0,0.0
8,558,31,STEM HIP FITMORE  A SIZE 7,1.0,0.0,1.0,1,2017-09-28,2017-09-28,0,0.0,1.0,0.0,0.0
1,559,MICROSOPE - ELECTRON,Microsope - Electron,2.0,0.0,2.0,1,2017-09-29,2017-09-28,1,-1.0,0.5,0.0,0.0
1,560,MICRONBULB,Microscope Bulbs,1.0,0.0,1.0,1,2017-09-29,2017-09-29,0,0.0,1.0,0.0,0.0
1,561,MICRONBULB,Microscope Bulbs,1.0,0.0,1.0,1,2017-09-29,2017-09-29,0,0.0,1.0,0.0,0.0
